evaluation 200: force 0.20188083290833952, moment 0.11705681079685293, torque Some(0.22773685573959376)
evaluation 400: force 0.20188083290833952, moment 0.11705681079685293, torque Some(0.22773685573959376)
evaluation 600: force 0.20188083290833952, moment 0.11705681079685293, torque Some(0.22773685573959376)
evaluation 800: force 0.20188083290833952, moment 0.11705681079685293, torque Some(0.22773685573959376)
evaluation 1000: force 0.20188174688511099, moment 0.11705545756815933, torque Some(0.22773685573959376)
evaluation 1200: force 0.20038515013880678, moment 0.11702740711426653, torque Some(0.22781238635952444)
evaluation 1400: force 0.20038515013880678, moment 0.11702740711426653, torque Some(0.22781239188849955)
evaluation 1600: force 0.20038515013880678, moment 0.11702740711426653, torque Some(0.22781238635952444)
evaluation 1800: force 0.20038515013880678, moment 0.11702740711426653, torque Some(0.22781238635952444)
evaluation 2000: force 0.20038515013880678, moment 0.11702740711426653, torque Some(0.22781238635952444)
evaluation 2200: force 0.20038515013880678, moment 0.11702740711426653, torque Some(0.22781238635952444)
evaluation 2400: force 0.19789580883047306, moment 0.11707449353916287, torque Some(0.2288354196310639)
evaluation 2600: force 0.19789580883047306, moment 0.11707449353916287, torque Some(0.2288354196310639)
evaluation 2800: force 0.19789580883047306, moment 0.11707449353916287, torque Some(0.2288354196310639)
evaluation 3000: force 0.19789580883047306, moment 0.11707449353916287, torque Some(0.2288354196310639)
evaluation 3200: force 0.19789624344341716, moment 0.11707339532955824, torque Some(0.2288354196310639)
evaluation 3400: force 0.19789580883047306, moment 0.11707449353916287, torque Some(0.2288354196310639)
evaluation 3600: force 0.1899716670278709, moment 0.1159802646170885, torque Some(0.23076927467439096)
evaluation 3800: force 0.1899716670278709, moment 0.1159802646170885, torque Some(0.23076927467439096)
evaluation 4000: force 0.1899716670278709, moment 0.1159802646170885, torque Some(0.23076927467439096)
evaluation 4200: force 0.1899716670278709, moment 0.1159802646170885, torque Some(0.23076927467439096)
evaluation 4400: force 0.18997168412505835, moment 0.11598024809949932, torque Some(0.23076927467439096)
evaluation 4600: force 0.18166707793269343, moment 0.10399425113380095, torque Some(0.22484236769260546)
evaluation 4800: force 0.18166707793269343, moment 0.10399425113380095, torque Some(0.22484236790633222)
evaluation 5000: force 0.18166707793269343, moment 0.10399425113380095, torque Some(0.22484236769260546)
evaluation 5200: force 0.18166707793269343, moment 0.10399425113380095, torque Some(0.22484236769260546)
evaluation 5400: force 0.18166707793269343, moment 0.10399425113380095, torque Some(0.22484236769260546)
evaluation 5600: force 0.18179827437842935, moment 0.1039940023353529, torque Some(0.22484236769260546)
evaluation 5800: force 0.1819249807638289, moment 0.09008517247669455, torque Some(0.24295221555686722)
evaluation 6000: force 0.1819249807638289, moment 0.09008517247669455, torque Some(0.2429522484936102)
evaluation 6200: force 0.1819249807638289, moment 0.09008517247669455, torque Some(0.24295221555686722)
evaluation 6400: force 0.1819249807638289, moment 0.09008517247669455, torque Some(0.24295221555686722)
evaluation 6600: force 0.1819249807638289, moment 0.09008517247669455, torque Some(0.24295221555686722)
evaluation 6800: force 0.1819249807638289, moment 0.09008517247669455, torque Some(0.24295221555686722)
evaluation 7000: force 0.191237351814832, moment 0.06316384995565368, torque Some(0.2500236968556607)
evaluation 7200: force 0.191237351814832, moment 0.06316384995565368, torque Some(0.2500236968556607)
evaluation 7400: force 0.191237351814832, moment 0.0632117617426109, torque Some(0.2500236968556607)
evaluation 7600: force 0.191237351814832, moment 0.06316384995565368, torque Some(0.2500236968556607)
evaluation 7800: force 0.191237351814832, moment 0.06316384995565368, torque Some(0.2500236968556607)
evaluation 8000: force 0.191237351814832, moment 0.06316384995565368, torque Some(0.2500236968556607)
evaluation 8200: force 0.27926627877071575, moment 0.09881017396636728, torque Some(0.2559609676037566)
evaluation 8400: force 0.27926627877071575, moment 0.09881017396636728, torque Some(0.2559609676037566)
evaluation 8600: force 0.27926627877071575, moment 0.09881017396636728, torque Some(0.2559609676037566)
evaluation 8800: force 0.27926627877071575, moment 0.09881017396636728, torque Some(0.2559609676037566)
evaluation 9000: force 0.27926662335797936, moment 0.09880934796762599, torque Some(0.2559609676037566)
evaluation 9200: force 0.13890195820689594, moment 0.06315281561471218, torque Some(0.25876391424411865)
evaluation 9400: force 0.13890195820689594, moment 0.06315281561471218, torque Some(0.258763910746291)
evaluation 9600: force 0.1389018601803806, moment 0.06315281716332684, torque Some(0.25876391424411865)
evaluation 9800: force 0.13890195820689594, moment 0.06315281561471218, torque Some(0.25876391424411865)
evaluation 10000: force 0.13890195820689594, moment 0.06315281561471218, torque Some(0.25876391424411865)
