smoothing 0.00001 evaluation 1340: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1360: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1380: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1400: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1420: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1440: force 0.1368, moment 0.0500, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1460: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1480: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1500: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1520: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1540: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1560: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1580: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1600: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1620: force 0.1605, moment 0.0592, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1640: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1660: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1680: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1700: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1720: force 0.1157, moment 0.0497, torque Some(-0.007235182672729046)
smoothing 0.00001 evaluation 1740: force 0.1033, moment 0.0445, torque Some(-0.002070379964819402)
smoothing 0.00001 evaluation 1760: force 0.1035, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1780: force 0.1033, moment 0.0583, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1800: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1820: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1840: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1860: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1880: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1900: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1920: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1940: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1960: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 1980: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2000: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2020: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2040: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2060: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2080: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2100: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2120: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2140: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2160: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2180: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2200: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2220: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2240: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2260: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2280: force 0.1198, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2300: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2320: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2340: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2360: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2380: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2400: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2420: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2440: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2460: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2480: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2500: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2520: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2540: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2560: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2580: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2600: force 0.1033, moment 0.0441, torque Some(-0.0020685963637405713)
smoothing 0.00001 evaluation 2620: force 0.1672, moment 0.0625, torque Some(-0.0009662680358227815)
smoothing 0.00001 evaluation 2640: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2660: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2680: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2700: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2720: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2740: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2760: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2780: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2800: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2820: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2840: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2860: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2880: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2900: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2920: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2940: force 0.1171, moment 0.0487, torque Some(-0.0012560245511754609)
smoothing 0.00001 evaluation 2960: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 2980: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3000: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3020: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3040: force 0.1171, moment 0.0487, torque Some(-0.0013730802737672576)
smoothing 0.00001 evaluation 3060: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3080: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3100: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3120: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3140: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3160: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3180: force 0.1203, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3200: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3220: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3240: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3260: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3280: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3300: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3320: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3340: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3360: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3380: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3400: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3420: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3440: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
smoothing 0.00001 evaluation 3460: force 0.1171, moment 0.0487, torque Some(-0.0009783960324636354)
stage 0.00001: DampingLimit, planning tolerances false
