smoothing 0.00001 evaluation 20: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 40: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 60: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 80: force 0.1704, moment 0.0631, torque Some(-0.00018514415678616558)
smoothing 0.00001 evaluation 100: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 120: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 140: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 160: force 0.1704, moment 0.0631, torque Some(-0.00018330909631769643)
smoothing 0.00001 evaluation 180: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 200: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 220: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 240: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 260: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 280: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 300: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 320: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 340: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 360: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 380: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 400: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 420: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 440: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 460: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 480: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 500: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 520: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 540: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 560: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 580: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 600: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 620: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 640: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 660: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 680: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 700: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 720: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 740: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 760: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 780: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 800: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 820: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 840: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 860: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 880: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 900: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 920: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 940: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 960: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 980: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 1000: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 1020: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 1040: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 1060: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 1080: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 1100: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 1120: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 1140: force 0.1704, moment 0.0631, torque Some(-0.00018621211032909812)
smoothing 0.00001 evaluation 1160: force 0.1719, moment 0.0611, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1180: force 0.1720, moment 0.0611, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1200: force 0.1719, moment 0.0611, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1220: force 0.1721, moment 0.0611, torque Some(-1.852346805164551e-5)
smoothing 0.00001 evaluation 1240: force 0.1720, moment 0.0611, torque Some(-1.8582389919252762e-5)
smoothing 0.00001 evaluation 1260: force 0.1720, moment 0.0611, torque Some(-1.8600425448322966e-5)
smoothing 0.00001 evaluation 1280: force 0.1720, moment 0.0611, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1300: force 0.1720, moment 0.0611, torque Some(-1.85751844481441e-5)
smoothing 0.00001 evaluation 1320: force 0.1720, moment 0.0611, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1340: force 0.1720, moment 0.0611, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1360: force 0.1720, moment 0.0611, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1380: force 0.1720, moment 0.0611, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1400: force 0.1720, moment 0.0611, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1420: force 0.1720, moment 0.0611, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1440: force 0.1720, moment 0.0611, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1460: force 0.1720, moment 0.0611, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1480: force 0.1720, moment 0.0610, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1500: force 0.1720, moment 0.0611, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1520: force 0.1720, moment 0.0612, torque Some(-1.8594551185024955e-5)
smoothing 0.00001 evaluation 1540: force 0.1720, moment 0.0611, torque Some(-1.8594551185024955e-5)
